No;Title;Year;Genre;Origin;Director;Star;IMDB link
60;WALL E;1957;Drama;USA;Stanley Kubrick;Kirk Douglas;https://www.imdb.com/title/tt0050825
61;Mononoke-hime;1980;Horror;USA;Stanley Kubrick;Jack Nicholson;https://www.imdb.com/title/tt0081505
62;Witness for the Prosecution;2012;Western;USA;Quentin Tarantino;Jamie Foxx;https://www.imdb.com/title/tt1853728
63;American Beauty;2008;Adventure;USA;Andrew Stanton;Ben Burtt;https://www.imdb.com/title/tt0910970
64;The Dark Knight Rises;1997;Adventure;Japan;Hayao Miyazaki;Yôji Matsuda;https://www.imdb.com/title/tt0119698
65;Oldeuboi;1957;Drama;USA;Billy Wilder;Tyrone Power;https://www.imdb.com/title/tt0051201
66;Aliens;1999;Drama;USA;Sam Mendes;Kevin Spacey;https://www.imdb.com/title/tt0169547
67;Once Upon a Time in America;2012;Action;USA;Christopher Nolan;Christian Bale;https://www.imdb.com/title/tt1345836
68;Coco;2003;Thriller;South Korea;Chan-wook Park;Choi Min-sik;https://www.imdb.com/title/tt0364569
69;Das Boot;1986;Adventure;USA;James Cameron;Sigourney Weaver;https://www.imdb.com/title/tt0090605
70;Citizen Kane;1984;Drama;Italy;Sergio Leone;Robert De Niro;https://www.imdb.com/title/tt0087843
71;Braveheart;2017;Comedy;USA;Lee Unkrich;Anthony Gonzalez;https://www.imdb.com/title/tt2380307
72;Vertigo;1981;War;West Germany;Wolfgang Petersen;Jürgen Prochnow;https://www.imdb.com/title/tt0082096
73;North by Northwest;1941;Drama;USA;Orson Welles;Orson Welles;https://www.imdb.com/title/tt0033467
74;Reservoir Dogs;1995;Drama;USA;Mel Gibson;Mel Gibson;https://www.imdb.com/title/tt0112573
75;Star Wars: Episode VI - Return of the Jedi;1958;Thriller;USA;Alfred Hitchcock;James Stewart;https://www.imdb.com/title/tt0052357
76;M - Eine Stadt sucht einen Mörder;1959;Thriller;USA;Alfred Hitchcock;Cary Grant;https://www.imdb.com/title/tt0053125
77;Kimi no na wa.;1992;Drama;USA;Quentin Tarantino;Harvey Keitel;https://www.imdb.com/title/tt0105236
78;Amadeus;1983;Adventure;USA;Richard Marquand;Mark Hamill;https://www.imdb.com/title/tt0086190
79;Requiem for a Dream;1931;Thriller;Germany;Fritz Lang;Peter Lorre;https://www.imdb.com/title/tt0022100
80;Dangal;2016;Romance;Japan;Makoto Shinkai;Ryunosuke Kamiki;https://www.imdb.com/title/tt5311514
81;Taare Zameen Par;1984;Drama;France;Milos Forman;F. Murray Abraham;https://www.imdb.com/title/tt0086879
82;Lawrence of Arabia;2000;Drama;USA;Darren Aronofsky;Ellen Burstyn;https://www.imdb.com/title/tt0180093
83;Eternal Sunshine of the Spotless Mind;2016;Drama;India;Nitesh Tiwari;Aamir Khan;https://www.imdb.com/title/tt5074352
84;A Clockwork Orange;2007;Drama;India;Aamir Khan;Aamir Khan;https://www.imdb.com/title/tt0986264
85;3 Idiots;1962;Biography;UK;David Lean;Peter O'Toole;https://www.imdb.com/title/tt0056172
86;2001: A Space Odyssey;2004;Romance;USA;Michel Gondry;Jim Carrey;https://www.imdb.com/title/tt0338013
87;Le fabuleux destin d'Amélie Poulain;1971;Drama;USA;Stanley Kubrick;Malcolm McDowell;https://www.imdb.com/title/tt0066921
88;Toy Story;2009;Drama;India;Rajkumar Hirani;Aamir Khan;https://www.imdb.com/title/tt1187043
89;Double Indemnity;1968;Adventure;USA;Stanley Kubrick;Keir Dullea;https://www.imdb.com/title/tt0062622
90;Taxi Driver;2001;Comedy;France;Jean-Pierre Jeunet;Audrey Tautou;https://www.imdb.com/title/tt0211915
91;Singin' in the Rain;1995;Comedy;USA;John Lasseter;Tom Hanks;https://www.imdb.com/title/tt0114709
92;Inglourious Basterds;1944;Drama;USA;Billy Wilder;Fred MacMurray;https://www.imdb.com/title/tt0036775
93;Full Metal Jacket;1976;Drama;USA;Martin Scorsese;Robert De Niro;https://www.imdb.com/title/tt0075314
94;To Kill a Mockingbird;1952;Comedy;USA;Stanley Donen;Gene Kelly;https://www.imdb.com/title/tt0045152
95;Ladri di biciclette;2009;War;USA;Quentin Tarantino;Brad Pitt;https://www.imdb.com/title/tt0361748
96;The Kid;1987;Drama;USA;Stanley Kubrick;Matthew Modine;https://www.imdb.com/title/tt0093058
97;The Sting;1962;Drama;USA;Robert Mulligan;Gregory Peck;https://www.imdb.com/title/tt0056592
98;Good Will Hunting;1948;Drama;Italy;Vittorio De Sica;Lamberto Maggiorani;https://www.imdb.com/title/tt0040522
99;Toy Story 3;1921;Drama;USA;Charles Chaplin;Charles Chaplin;https://www.imdb.com/title/tt0012349
100;Jagten;1973;Drama;USA;George Roy Hill;Paul Newman;https://www.imdb.com/title/tt0070735
101;Snatch;1997;Romance;USA;Gus Van Sant;Robin Williams;https://www.imdb.com/title/tt0119217
102;Scarface;2010;Comedy;USA;Lee Unkrich;Tom Hanks;https://www.imdb.com/title/tt0435761
103;Monty Python and the Holy Grail;2012;Drama;Sweden;Thomas Vinterberg;Mads Mikkelsen;https://www.imdb.com/title/tt2106476
104;Per qualche dollaro in più;2000;Comedy;USA;Guy Ritchie;Jason Statham;https://www.imdb.com/title/tt0208092
105;L.A. Confidential;1983;Drama;USA;Brian De Palma;Al Pacino;https://www.imdb.com/title/tt0086250
106;The Apartment;1975;Comedy;UK;Terry Gilliam;Graham Chapman;https://www.imdb.com/title/tt0071853
107;Metropolis;1965;Western;West Germany;Sergio Leone;Clint Eastwood;https://www.imdb.com/title/tt0059578
108;Jodaeiye Nader az Simin;1997;Drama;USA;Curtis Hanson;Kevin Spacey;https://www.imdb.com/title/tt0119488
109;Indiana Jones and the Last Crusade;1960;Romance;USA;Billy Wilder;Jack Lemmon;https://www.imdb.com/title/tt0053604
